date_stamp;sku;quantity_sold
2022-01-08;10151;25.0
2022-01-08;10133;27.0
2022-01-08;10120;1.0
2022-01-08;10109;9.0
2022-01-08;10178;1.0
2022-01-08;10212;6.0
2022-01-08;10175;17.0
2022-01-08;10124;3.0
2022-01-08;10150;15.0
2022-01-08;10171;1.0
2022-01-09;10110;5.0
2022-01-09;10193;2.0
2022-01-09;10145;5.0
2022-01-09;10112;1.0
2022-01-09;10166;2.0
2022-01-09;10194;1.0
2022-01-09;10191;8.0
2022-01-09;10126;37.0
2022-01-09;10156;10.0
2022-01-09;10179;1.0
2022-01-09;10181;1.0
2022-01-09;10180;2.0
2022-01-09;10129;10.0
2022-01-09;10192;2.0
2022-01-09;10195;1.0
2022-01-09;10157;7.0
2022-01-09;10161;2.0
2022-01-09;10143;2.0
2022-01-09;10123;2.0
2022-01-09;10199;10.0
2022-01-09;10200;1.0
2022-01-09;10154;1.0
2022-01-09;10125;1.0
2022-01-09;10134;3.0
2022-01-09;10208;1.0
2022-01-09;10214;2.0
2022-01-09;10127;17.0
2022-01-09;10139;1.0
2022-01-09;10188;3.0
2022-01-09;10101;4.0
2022-01-09;10102;9.0
2022-01-09;10106;19.0
2022-01-09;10113;14.0
2022-01-09;10135;3.0
2022-01-09;10117;10.0
2022-01-09;10118;3.0
2022-01-09;10104;2.0
2022-01-09;10168;1.0
2022-01-09;10146;1.0
2022-01-09;10173;4.0
2022-01-09;10189;16.0
2022-01-09;10122;1.0
2022-01-09;10132;3.0
2022-01-09;10131;4.0
2022-01-09;10198;1.0
2022-01-09;10197;4.0
2022-01-09;10202;2.0
2022-01-09;10116;1.0
2022-01-09;10103;3.0
2022-01-09;10165;8.0
2022-01-09;10218;1.0
2022-01-09;10219;1.0
2022-01-09;10211;8.0
2022-01-09;10213;5.0
2022-01-09;10164;1.0
2022-01-09;10100;8.0
2022-01-09;10108;1.0
2022-01-09;10107;6.0
2022-01-09;10140;11.0
2022-01-09;10170;1.0
2022-01-09;10119;10.0
2022-01-09;10169;2.0
2022-01-09;10121;2.0
2022-01-09;10190;21.0
2022-01-09;10151;12.0
2022-01-09;10133;12.0
2022-01-09;10120;10.0
2022-01-09;10109;4.0
2022-01-09;10178;1.0
2022-01-09;10212;5.0
2022-01-09;10175;9.0
2022-01-09;10216;1.0
2022-01-09;10124;3.0
2022-01-09;10150;7.0
2022-01-10;10110;4.0
2022-01-10;10193;3.0
2022-01-10;10210;7.0
2022-01-10;10172;2.0
2022-01-10;10191;2.0
2022-01-10;10126;47.0
2022-01-10;10167;2.0
2022-01-10;10179;1.0
2022-01-10;10181;1.0
2022-01-10;10180;2.0
2022-01-10;10215;1.0
2022-01-10;10129;4.0
2022-01-10;10195;1.0
2022-01-10;10144;1.0
2022-01-10;10123;1.0
2022-01-10;10130;1.0
2022-01-10;10134;1.0
2022-01-10;10127;12.0
2022-01-10;10188;2.0
2022-01-10;10101;3.0
2022-01-10;10102;6.0
2022-01-10;10106;5.0
2022-01-10;10113;12.0
2022-01-10;10135;3.0
2022-01-10;10117;7.0
2022-01-10;10136;2.0
2022-01-10;10118;3.0
2022-01-10;10104;3.0
2022-01-10;10189;5.0
2022-01-10;10103;1.0
2022-01-10;10220;2.0
2022-01-10;10211;6.0
2022-01-10;10209;1.0
2022-01-10;10100;2.0
2022-01-10;10108;2.0
2022-01-10;10107;3.0
2022-01-10;10140;4.0
2022-01-10;10170;6.0
2022-01-10;10119;12.0
2022-01-10;10121;28.0
2022-01-10;10190;17.0
2022-01-10;10151;13.0
2022-01-10;10133;13.0
2022-01-10;10120;3.0
2022-01-10;10109;2.0
2022-01-10;10178;1.0
2022-01-10;10212;8.0
2022-01-10;10175;3.0
2022-01-10;10124;2.0
2022-01-10;10150;4.0
2022-01-11;10110;12.0
2022-01-11;10166;2.0
2022-01-11;10210;1.0
2022-01-11;10191;5.0
2022-01-11;10126;55.0
2022-01-11;10167;1.0
2022-01-11;10156;3.0
2022-01-11;10180;1.0
2022-01-11;10157;1.0
2022-01-11;10161;1.0
2022-01-11;10144;1.0
2022-01-11;10162;2.0
2022-01-11;10134;10.0
2022-01-11;10127;5.0
2022-01-11;10139;1.0
2022-01-11;10188;5.0
2022-01-11;10160;2.0
2022-01-11;10102;2.0
